Dataset,ASpT_time,ASpT_gflops
12month1,20.513792,705.858052
144,2.283616,602.212894
192bit,0.239680,412.024020
208bit,0.376480,509.572443
2D_27628_bjtcai,0.612960,462.435932
2D_54019_highK,4.041728,157.780275
2cubes_sphere,1.754560,600.862304
333SP,88.772003,160.174940
3D_28984_Tetra,1.458176,262.978403
3D_51448_3D,2.030592,333.021312
3Dspectralwave,27.393024,786.199312
3Dspectralwave2,11.806720,776.384663
3dtube,3.124224,658.312450
598a,1.677568,566.102562
ABACUS_shell_hd,0.324896,430.383128
ABACUS_shell_ld,0.333248,419.596710
ABACUS_shell_md,0.326400,428.399985
ABACUS_shell_ud,0.324928,430.340771
AS365,98.040512,148.419638
ASIC_100k,1.720320,354.971357
ASIC_100ks,3.596064,103.026417
ASIC_320k,4.559872,369.886020
ASIC_320ks,4.006944,291.942295
ASIC_680k,7.052288,351.366067
ASIC_680ks,10.881408,136.992628
Andrews,0.903392,538.524307
Baumann,1.252064,388.801087
BenElechi1,12.037120,699.196945
Bump_2911,100.840897,810.654587
CO,6.393280,767.411479
Chebyshev4,4.449280,773.555992
Chevron1,0.441696,479.074127
Chevron2,1.086528,473.094800
Chevron3,4.259904,512.779717
Chevron4,7.859168,519.253902
CoupCons3D,17.263103,827.562382
Cube_Coup_dt0,98.370110,827.608432
Cube_Coup_dt6,98.369598,827.612733
CurlCurl_0,0.199008,364.505542
CurlCurl_1,2.938624,538.389903
CurlCurl_2,10.263616,556.328800
CurlCurl_3,15.499904,559.265122
CurlCurl_4,30.290272,560.250995
D6-6,0.546624,171.970494
Delor295K,7.436992,206.648963
Delor338K,10.687552,252.202118
Delor64K,2.054592,203.139904
Dubcova1,0.317728,509.636398
Dubcova2,1.102592,597.994548
Dubcova3,3.219776,722.862529
EAT_RS,1.253376,166.254084
EAT_SR,0.516096,403.756204
ESOC,5.296320,727.441127
Emilia_923,32.040482,819.067959
EternityII_E,2.257920,426.227886
EternityII_Etilde,1.957888,382.621599
F1,21.448704,800.782766
F2,4.260864,795.224296
FEM_3D_thermal1,0.474944,580.433909
FEM_3D_thermal2,3.203520,697.093185
Fault_639,22.360416,819.006257
Flan_1565,98.003967,766.702311
Franz11,0.466720,452.146712
Freescale1,75.411263,160.573125
Freescale2,34.809856,423.653379
FullChip,37.679104,452.188929
G2_circuit,2.874208,161.808528
G3_circuit,30.344543,161.575298
GL7d14,2.206368,531.170293
GL7d15,6.588192,590.669466
GL7d16,15.954528,581.207036
GL7d17,29.251713,568.376383
GL7d18,41.721729,545.949221
GL7d19,42.642433,560.159030
GL7d20,35.052608,545.796007
GL7d21,20.817633,558.750180
GL7d22,9.904384,533.161899
GL7d23,3.685184,468.111009
GL7d24,1.458176,260.661865
G_n_pin_pout,1.337120,479.787463
Ga10As10H30,5.431296,720.639275
Ga19As19H42,7.743488,734.332781
Ga3As3H12,5.563392,686.884183
Ga41As41H72,15.420416,767.334988
GaAsH6,3.263488,663.203825
Ge87H76,7.121920,709.219525
Ge99H100,7.553024,716.122831
Geo_1438,49.350399,819.046703
H2O,1.958208,724.494571
HEP-th-new,1.080320,209.008886
HTC_336_4438,2.639872,219.288687
HTC_336_9129,2.664448,212.197827
HV15R,235.185150,770.316549
Hamrle3,21.960768,160.700888
Hook_1498,48.781727,799.216578
IG5-15,0.512000,404.386231
IG5-16,0.743424,506.478996
IG5-17,1.116160,593.467871
IG5-18,1.807360,634.026185
IMDB,7.025664,344.561933
Ill_Stokes,0.289376,423.240089
JP,11.381760,772.298663
LargeRegFile,14.071072,224.879009
LeGresley_87936,0.980736,387.154783
Lin,2.742880,412.156549
Linux_call_graph,10.700896,72.302460
Long_Coup_dt0,66.336800,840.211695
Long_Coup_dt6,66.342850,840.135073
M6,90.607872,148.358832
ML_Geer,88.550400,801.387484
ML_Laplace,22.051840,803.632813
Maragal_6,1.317888,261.117906
Maragal_7,1.772544,433.469448
Maragal_8,1.922048,435.673621
NACA0015,26.530720,150.277379
NLR,108.010078,147.991831
NotreDame_actors,3.732544,252.122567
NotreDame_www,3.648416,163.112801
OPF_10000,0.628768,476.065937
OPF_3754,0.335680,301.759764
OPF_6000,0.501504,385.934147
PFlow_742,29.442047,807.301712
PR02R,6.738944,777.345382
Pres_Poisson,1.022784,447.909395
RFdevice,2.952640,79.241355
RM07R,33.156097,723.172434
Raj1,2.552832,326.530299
Reuters911,1.240064,152.805530
Rucci1,14.379904,346.758058
Serena,50.534847,817.263549
Si10H16,1.725440,324.897250
Si34H36,5.054464,652.904571
