Dataset,ASpT_time,ASpT_gflops
12month1,26.999807,536.293652
144,3.211008,428.283894
192bit,0.233248,423.385932
208bit,0.353344,542.937884
2D_27628_bjtcai,0.590784,479.794161
2D_54019_highK,4.503456,141.603458
2cubes_sphere,2.299264,458.515847
333SP,51.205120,277.688056
3D_28984_Tetra,1.369088,280.090677
3D_51448_3D,2.560000,264.152506
3Dspectralwave,36.660225,587.458942
3Dspectralwave2,15.448064,593.378966
3dtube,3.276800,627.659781
598a,2.462112,385.715816
ABACUS_shell_hd,0.334240,418.351377
ABACUS_shell_ld,0.336480,415.566344
ABACUS_shell_md,0.328512,425.645804
ABACUS_shell_ud,0.328544,425.604375
AS365,56.024097,259.729972
ASIC_100k,2.284544,267.302500
ASIC_100ks,1.741696,212.717719
ASIC_320k,6.701056,251.696592
ASIC_320ks,5.257728,222.490866
ASIC_680k,10.812416,229.174932
ASIC_680ks,7.001088,212.920136
Andrews,1.232224,394.813415
Baumann,1.580768,307.954009
BenElechi1,13.872352,606.697239
Bump_2911,127.234627,642.491258
CO,8.130272,603.457859
Chebyshev4,5.875712,585.761707
Chevron1,0.445664,474.808657
Chevron2,1.368224,375.691927
Chevron3,5.480544,398.572164
Chevron4,10.169056,401.306051
CoupCons3D,21.507488,664.247488
Cube_Coup_dt0,136.532990,596.280302
Cube_Coup_dt6,136.520706,596.333951
CurlCurl_0,0.195648,370.765457
CurlCurl_1,3.723520,424.900477
CurlCurl_2,13.125856,435.015041
CurlCurl_3,19.937088,434.795468
CurlCurl_4,40.506657,418.947311
D6-6,0.855424,109.890769
Delor295K,4.009984,383.255074
Delor338K,5.197440,518.605945
Delor64K,1.102112,378.699787
Dubcova1,0.308480,524.914947
Dubcova2,1.408384,468.156423
Dubcova3,4.444384,523.684567
EAT_RS,1.215488,171.436400
EAT_SR,0.526336,395.901011
ESOC,5.681696,678.100518
Emilia_923,40.097984,654.480076
EternityII_E,3.294208,292.145628
EternityII_Etilde,3.042304,246.237796
F1,31.237120,549.850706
F2,5.702656,594.169195
FEM_3D_thermal1,0.428448,643.423719
FEM_3D_thermal2,3.672064,608.146252
Fault_639,27.862720,657.269665
Flan_1565,121.142273,620.261337
Franz11,0.563520,374.478128
Freescale1,44.461792,272.346694
Freescale2,54.263809,271.770698
FullChip,57.595905,295.820918
G2_circuit,1.704256,272.888195
G3_circuit,17.611839,278.388223
GL7d14,2.873792,407.808619
GL7d15,9.975296,390.108106
GL7d16,27.627071,335.644836
GL7d17,53.202530,312.503611
GL7d18,75.590561,301.333200
GL7d19,79.158493,301.755921
GL7d20,63.915680,299.325201
GL7d21,37.831806,307.462349
GL7d22,16.976992,311.046863
GL7d23,5.672032,304.137078
GL7d24,2.015232,188.608986
G_n_pin_pout,1.903808,336.973813
Ga10As10H30,6.690816,584.981737
Ga19As19H42,9.602048,592.196270
Ga3As3H12,6.098944,626.568462
Ga41As41H72,20.066303,589.676359
GaAsH6,3.527680,613.535754
Ge87H76,8.621056,585.891686
