Dataset,Sputnik_time,Sputnik_gflops,ours_time,ours_gflops
12month1, 1183.856689, 48.924250, 53.970943,1073.157099
144, 2188.764160, 2.513241, 5.311488,1035.659311
192bit, 19.936256, 19.813935, 0.354304,1114.906114
208bit, 63.101952, 12.160882, 0.647168,1185.743706
2D_27628_bjtcai, 80.817154, 14.029433, 0.805888,1406.918684
2D_54019_highK, 306.792450, 8.314480, 1.481728,1721.516981
2cubes_sphere, 1078.502441, 3.910048, 3.093504,1363.177777
333SP, 0.005120, 11108633.280628, 76.239876,746.016443
3D_28984_Tetra, 88.937469, 17.246670, 0.964608,1590.153905
3D_51448_3D, 278.460419, 9.713846, 1.541120,1755.166053
3Dspectralwave, 48404.714844, 1.779692, 58.750977,1466.282143
3Dspectralwave2, 8924.716797, 4.108391, 24.043520,1524.994039
3dtube, 220.894211, 37.243448, 4.189184,1963.833937
598a, 1289.119751, 2.946741, 4.248576,894.111800
ABACUS_shell_hd, 57.914368, 9.657691, 0.609280,918.000015
ABACUS_shell_ld, 57.913345, 9.657861, 0.607232,921.096160
ABACUS_shell_md, 57.911297, 9.658203, 0.607232,921.096160
ABACUS_shell_ud, 57.912319, 9.658032, 0.631808,885.267447
AS365, 0.005120, 11368076.287182, 86.889473,669.868825
ASIC_100k, 1032.231934, 2.366384, 1.993728,1225.170750
ASIC_100ks, 1028.617188, 1.440729, 1.540096,962.250637
ASIC_320k, 10801.509766, 0.624592, 6.875136,981.294325
ASIC_320ks, 10791.328125, 0.433606, 4.424704,1057.513868
ASIC_680k, 48599.125000, 0.203949, 12.851200,771.269516
ASIC_680ks, 48575.207031, 0.122752, 7.685120,775.874739
Andrews, 378.108917, 5.146650, 1.985536,980.085106
Baumann, 1315.790894, 1.479882, 1.784832,1090.979632
BenElechi1, 6325.969727, 5.321756, 16.813057,2002.328896
Bump_2911, 0.006144, 53220789.367535, 194.502655,1681.152072
CO, 5115.821289, 3.836159, 13.538304,1449.598520
Chebyshev4, 489.812988, 28.106785, 9.154560,1503.848140
Chevron1, 146.820099, 5.765018, 0.745472,1135.415501
Chevron2, 851.853333, 2.413705, 1.597440,1287.136214
Chevron3, 15167.017578, 0.576090, 5.974016,1462.595514
Chevron4, 52754.671875, 0.309425, 10.975232,1487.313848
CoupCons3D, 18151.742188, 3.148193, 30.172159,1893.970524
Cube_Coup_dt0, 0.006144, 53002558.125254, 165.179398,1971.479091
Cube_Coup_dt6, 0.006144, 53002558.125254, 165.177338,1971.503678
CurlCurl_0, 13.122560, 22.111394, 0.276480,1049.472263
CurlCurl_1, 5352.600586, 1.182323, 4.277248,1479.573291
CurlCurl_2, 67804.429688, 0.336848, 15.787008,1446.745287
CurlCurl_3, 155003.015625, 0.223700, 23.890944,1451.354236
CurlCurl_4, 0.005120, 13257933.834924, 46.570496,1457.588515
D6-6, 299.499512, 1.255470, 0.709632,529.870145
Delor295K, 56204.500000, 0.109375, 5.211136,1179.663521
Delor338K, 31733.281250, 0.339760, 6.637568,1624.343953
Delor64K, 12039.876953, 0.138662, 1.622016,1029.261393
Dubcova1, 28.345345, 22.850420, 0.486400,1331.626293
Dubcova2, 443.953156, 5.940663, 2.099200,1256.371945
Dubcova3, 2251.362305, 4.135195, 5.719040,1627.864392
EAT_RS, 56.872959, 14.655744, 0.659456,1263.944071
EAT_SR, 56.829952, 14.666700, 0.646144,1289.972320
ESOC, 1302.391846, 11.832878, 7.819264,1970.907232
Emilia_923, 88881.054688, 1.181054, 62.040066,1692.024760
EternityII_E, 307.019775, 12.538456, 5.123072,751.415129
EternityII_Etilde, 217.587708, 13.771554, 3.846144,779.097452
F1, 12383.030273, 5.548158, 43.556866,1577.317564
F2, 544.945129, 24.871072, 8.057856,1682.007008
FEM_3D_thermal1, 34.043903, 32.390363, 0.694272,1588.274378
FEM_3D_thermal2, 2286.882812, 3.906019, 4.700160,1900.490185
Fault_639, 42586.250000, 1.720116, 43.042816,1701.870146
Flan_1565, 255347.890625, 1.177059, 161.694717,1858.808237
Franz11, 149.540863, 5.644636, 0.885760,952.971088
Freescale1, 0.005120, 9460173.738984, 63.508480,762.671194
Freescale2, 0.005120, 11521338.791053, 57.079807,1033.452212
FullChip, 0.005120, 13310995.336264, 66.708481,1021.643628
G2_circuit, 2351.624268, 0.791064, 1.993728,933.068804
G3_circuit, 261924.625000, 0.074875, 21.142529,927.595511
GL7d14, 851.647461, 5.504424, 3.930112,1192.797716
GL7d15, 8243.879883, 1.888161, 17.682432,880.296059
GL7d16, 45863.511719, 0.808737, 52.861954,701.667887
GL7d17, 154210.531250, 0.431254, 102.984703,645.765137
GL7d18, 315619.125000, 0.288676, 144.889862,628.834765
GL7d19, 389458.906250, 0.245331, 153.106430,624.050708
GL7d20, 286342.687500, 0.267254, 121.327614,630.740955
GL7d21, 123320.906250, 0.377287, 71.766014,648.321139
GL7d22, 29991.660156, 0.704281, 30.531584,691.826541
GL7d23, 3834.917969, 1.799335, 8.361984,825.198971
GL7d24, 232.477692, 6.539825, 1.401856,1084.536200
G_n_pin_pout, 1046.686768, 2.451673, 2.604032,985.446308
Ga10As10H30, 1346.039795, 11.631172, 9.999360,1565.702240
Ga19As19H42, 1865.903076, 12.189909, 14.448640,1574.209617
Ga3As3H12, 401.044495, 38.114535, 9.179136,1665.257368
Ga41As41H72, 7530.625977, 6.285068, 31.198208,1517.090301
GaAsH6, 397.790222, 21.763811, 5.449728,1588.598738
Ge87H76, 1347.240967, 14.996589, 12.518400,1613.945783
Ge99H100, 1348.558838, 16.043476, 13.334528,1622.522466
Geo_1438, 215575.812500, 0.749997, 97.179649,1663.734408
H2O, 474.001404, 11.972210, 3.789824,1497.389891
HEP-th-new, 81.389565, 11.097073, 0.763904,1182.329126
HTC_336_4438, 5343.194336, 0.433369, 3.567616,649.054251
HTC_336_9129, 5343.872070, 0.423206, 3.551232,636.838217
HV15R, 424634.187500, 1.706570, 411.781128,1759.837941
