Dataset,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,ours_time,ours_gflops
12month1, 101.136383, 143.171279, 42.269695, 342.558071, 11.794432, 1227.683170
144, 1.585152, 867.565391, 4.904960, 280.373947, 1.222656, 1124.783281
192bit, 0.194560, 507.575642, 0.549888, 179.589148, 0.156672, 630.322709
208bit, 0.261120, 734.696102, 0.747520, 256.640401, 0.217088, 883.714627
2D_27628_bjtcai, 0.291840, 971.267587, 0.944128, 300.229129, 0.260096, 1089.808014
2D_54019_highK, 1.325056, 481.266438, 1.737728, 366.976282, 0.604160, 1055.523286
2cubes_sphere, 1.147904, 918.412101, 3.422208, 308.061035, 0.954368, 1104.656658
333SP, 27.486208, 517.315821, 55.479298, 256.294705, 21.473280, 662.174119
3D_28984_Tetra, 2.670592, 143.589433, 1.134592, 337.979451, 0.483328, 793.392455
3D_51448_3D, 4.040704, 167.354609, 1.782784, 379.311462, 0.637952, 1060.001957
3Dspectralwave, 16.269312, 1323.742337, 54.090752, 398.152666, 15.723520, 1369.691811
3Dspectralwave2, 6.902784, 1327.950626, 23.955456, 382.650042, 6.753280, 1357.348716
3dtube, 2.748416, 748.327604, 4.861952, 423.022603, 1.504256, 1367.264286
598a, 1.120256, 847.730844, 3.416064, 278.002846, 0.904192, 1050.302978
ABACUS_shell_hd, 0.240640, 581.074469, 0.663552, 210.729171, 0.201728, 693.159894
ABACUS_shell_ld, 0.262144, 533.408204, 0.672768, 207.842467, 0.203776, 686.193461
ABACUS_shell_md, 0.239616, 583.557676, 0.661504, 211.381588, 0.201728, 693.159894
ABACUS_shell_ud, 0.243712, 573.750016, 0.685056, 204.114358, 0.203776, 686.193461
AS365, 32.231422, 451.458117, 61.386753, 237.040347, 25.113600, 579.412645
ASIC_100k, 98.479103, 6.200953, 2.509824, 243.309615, 0.876544, 696.672752
ASIC_100ks, 0.664576, 557.482671, 1.665024, 222.513063, 0.630784, 587.347832
ASIC_320k, 254.080002, 6.638196, 6.554624, 257.319556, 1.984512, 849.898103
ASIC_320ks, 2.298880, 508.854933, 4.564992, 256.253788, 1.698816, 688.595186
