Dataset,Spuntik_time,Sputnik_gflops,cuSparse_time,cuSparse_gflops,ours_time,ours_gflops
12month1, 213.230591, 271.627541, 174.663681, 331.604720, 110.914558, 522.197464
144, 13.726720, 400.743384, 14.629888, 376.003720, 9.829376, 559.637971
192bit, 0.786432, 502.288394, 0.998400, 395.648729, 0.673792, 586.257595
208bit, 1.520640, 504.639725, 1.779712, 431.179526, 1.215488, 631.331109
2D_27628_bjtcai, 2.018304, 561.768108, 2.186240, 518.615935, 1.562624, 725.586511
2D_54019_highK, 4.827136, 528.433386, 4.267008, 597.800600, 3.174400, 803.559654
2cubes_sphere, 8.187904, 515.027491, 8.468480, 497.963718, 5.822464, 724.263104
333SP, 196.722687, 289.118667, 212.252670, 267.964596, 142.662659, 398.676160
3D_28984_Tetra, 6.859776, 223.604269, 2.888704, 530.990772, 1.983488, 773.322162
3D_51448_3D, 9.943040, 272.041712, 4.817920, 561.429306, 3.556352, 760.588849
3Dspectralwave, 133.015549, 647.634872, 159.783936, 539.137477, 116.124672, 741.836394
3Dspectralwave2, 55.705601, 658.214330, 63.158272, 580.545091, 48.785408, 751.581797
3dtube, 9.706496, 847.562486, 12.549120, 655.572830, 9.392128, 875.931641
598a, 9.437184, 402.524942, 10.975232, 346.115876, 7.595008, 500.157753
ABACUS_shell_hd, 1.353728, 413.169423, 1.572864, 355.605456, 1.080320, 517.734597
ABACUS_shell_ld, 1.353728, 413.169423, 1.569792, 356.301363, 1.079296, 518.225810
ABACUS_shell_md, 1.354752, 412.857160, 1.564672, 357.467279, 1.078272, 518.717956
ABACUS_shell_ud, 1.353728, 413.169423, 1.572864, 355.605456, 1.079296, 518.225810
AS365, 220.557312, 263.897617, 233.669632, 249.089061, 164.403198, 354.035382
ASIC_100k, 149.816315, 16.304348, 7.845888, 311.329608, 4.217856, 579.122976
ASIC_100ks, 4.909056, 301.882550, 3.936256, 376.489341, 2.870272, 516.312893
ASIC_320k, 326.218750, 20.681006, 21.907455, 307.955977, 13.803520, 488.754444
ASIC_320ks, 16.735231, 279.600909, 11.567104, 404.525263, 8.645632, 541.219663
