Dataset,No_pipeline_time,No_pipeline_time,complete_time,complete_gflops
12month1, 12.663808, 1143.402161, 12.602368,1148.976516
144, 1.827840, 752.376063, 1.756160,783.085268
192bit, 0.204800, 482.196887, 0.196608,502.288394
208bit, 0.290816, 659.674275, 0.275456,696.459079
2D_27628_bjtcai, 0.343040, 826.302264, 0.328704,862.340344
2D_54019_highK, 0.726016, 878.362148, 0.709632,898.641801
2cubes_sphere, 1.517568, 694.696360, 1.331200,791.953844
333SP, 26.362881, 539.358745, 26.305536,540.534513
3D_28984_Tetra, 0.242688, 1580.089661, 0.225280,1702.187487
3D_51448_3D, 0.752640, 898.477881, 0.722944,935.384179
3Dspectralwave, 44.479488, 484.186706, 43.211777,498.391378
3Dspectralwave2, 19.085312, 480.293757, 19.033089,481.611593
3dtube, 3.739648, 549.975683, 3.695616,556.528469
598a, 1.313792, 722.850746, 1.288192,737.215799
ABACUS_shell_hd, 0.271360, 515.292434, 0.253952,550.614927
ABACUS_shell_ld, 0.269312, 519.211038, 0.260096,537.608240
ABACUS_shell_md, 0.268288, 521.192774, 0.258048,541.875004
ABACUS_shell_ud, 0.269312, 519.211038, 0.259072,539.733190
AS365, 30.469120, 477.569988, 30.442495,477.987665
ASIC_100k, 0.976896, 625.106795, 0.951296,641.928840
ASIC_100ks, 0.842752, 439.618783, 0.807936,458.563047
ASIC_320k, 2.604032, 647.700541, 2.581504,653.352809
ASIC_320ks, 2.412544, 484.880887, 2.367488,494.108746
ASIC_680k, 4.840448, 511.922609, 4.834304,512.573225
ASIC_680ks, 3.803136, 391.958793, 3.765248,395.902904
Andrews, 0.773120, 629.266568, 0.741376,656.210305
Baumann, 0.847872, 574.147783, 0.822272,592.022881
BenElechi1, 19.014656, 442.622649, 18.900991,445.284443
Bump_2911, 185.576447, 440.503829, 140.515335,581.766647
CO, 14.343168, 342.063650, 14.292992,343.264490
Chebyshev4, 2.629632, 1308.839809, 2.603008,1322.226823
Chevron1, 0.300032, 705.275195, 0.282624,748.716016
Chevron2, 0.745472, 689.537247, 0.723968,710.018536
Chevron3, 2.705408, 807.416938, 2.677760,815.753620
Chevron4, 5.054464, 807.386063, 4.992000,817.488701
CoupCons3D, 31.255552, 457.080230, 31.150080,458.627880
Cube_Coup_dt0, 158.438400, 513.839650, 96.930817,839.897310
Cube_Coup_dt6, 168.084473, 484.351296, 124.701698,652.853436
CurlCurl_0, 0.105472, 687.760932, 0.096256,753.610351
CurlCurl_1, 2.012160, 786.282100, 1.992704,793.959069
CurlCurl_2, 6.952960, 821.225054, 6.861824,832.132233
CurlCurl_3, 10.510336, 824.764840, 10.483712,826.859356
CurlCurl_4, 20.371456, 833.035928, 20.339712,834.336040
D6-6, 0.391168, 240.314137, 0.374784,250.819677
Delor295K, 2.214912, 693.863577, 2.190336,701.648846
Delor338K, 3.108864, 867.012291, 3.069952,878.001790
Delor64K, 0.733184, 569.256300, 0.681984,611.993237
Dubcova1, 0.252928, 640.204988, 0.239616,675.771883
Dubcova2, 0.817152, 806.880459, 0.798720,825.500799
Dubcova3, 3.129344, 743.751844, 3.053568,762.208487
EAT_RS, 0.399360, 521.782050, 0.382976,544.104284
EAT_SR, 0.601088, 346.666319, 0.587776,354.517636
ESOC, 3.486720, 1104.981434, 3.459072,1113.813426
Emilia_923, 68.668419, 382.174692, 60.250111,435.573173
EternityII_E, 1.316864, 730.818422, 1.271808,756.708920
EternityII_Etilde, 1.088512, 688.214993, 1.053696,710.954786
F1, 29.874176, 574.936437, 29.688831,578.525713
F2, 5.978112, 566.791367, 5.877760,576.468321
FEM_3D_thermal1, 0.348160, 791.801474, 0.330752,833.475269
FEM_3D_thermal2, 2.336768, 955.658450, 2.315264,964.534504
Fault_639, 47.590401, 384.811237, 47.517696,385.400016
Flan_1565, 131.347458, 572.069451, 106.068993,708.405598
Franz11, 0.193536, 1090.370379, 0.183296,1151.284948
Freescale1, 23.196672, 522.015479, 23.174145,522.522933
Freescale2, 27.029505, 545.600572, 26.978304,546.636042
FullChip, 29.102079, 585.458976, 29.119488,585.108974
G2_circuit, 0.945152, 492.059867, 0.926720,501.846673
G3_circuit, 9.007104, 544.340188, 8.955904,547.452121
GL7d14, 1.673216, 700.421900, 1.597440,733.647033
GL7d15, 4.984832, 780.656999, 4.965376,783.715859
GL7d16, 13.959168, 664.286263, 13.928448,665.751419
GL7d17, 28.337152, 586.720304, 28.321793,587.038503
GL7d18, 41.123840, 553.886636, 41.108479,554.093618
GL7d19, 45.457409, 525.470865, 43.780094,545.602847
GL7d20, 35.322880, 541.619876, 35.308544,541.839779
GL7d21, 20.918272, 556.061992, 20.892672,556.743351
GL7d22, 8.862720, 595.826143, 8.840192,597.344503
GL7d23, 2.607104, 661.682525, 2.584576,667.450008
GL7d24, 0.643072, 591.054928, 0.618496,614.540562
G_n_pin_pout, 1.092608, 587.157933, 1.036288,619.068662
Ga10As10H30, 7.160832, 546.585251, 7.133184,548.703797
Ga19As19H42, 8.709120, 652.912934, 8.622080,659.504094
Ga3As3H12, 4.271104, 894.711580, 4.211712,907.328465
Ga41As41H72, 18.382849, 643.677420, 18.241535,648.663861
GaAsH6, 3.856384, 561.240203, 3.830784,564.990799
Ge87H76, 7.754752, 651.343163, 7.684096,657.332351
Ge99H100, 7.964672, 679.110545, 7.884800,685.989858
Geo_1438, 106.262527, 380.381331, 72.434685,558.023849
H2O, 4.157440, 341.246290, 4.142080,342.511757
HEP-th-new, 0.462848, 487.841530, 0.444416,508.074612
HTC_336_4438, 1.498112, 386.415765, 1.452032,398.678605
HTC_336_9129, 1.464320, 386.111029, 1.433600,394.384835
HV15R, 197.776382, 916.019450, 130.765823,1385.430906
Hamrle3, 7.739392, 455.993826, 7.709696,457.750210
Hook_1498, 89.280510, 436.681699, 89.034752,437.887049
IG5-15, 0.241664, 856.750504, 0.231424,894.659830
IG5-16, 0.698368, 539.155049, 0.685056,549.631936
IG5-17, 1.329152, 498.366723, 1.186816,558.136335
IG5-18, 2.194432, 522.191432, 2.170880,527.856702
IMDB, 6.315008, 383.337006, 6.282240,385.336497
Ill_Stokes, 0.254976, 480.341357, 0.241664,506.800832
JP, 9.823232, 894.829526, 9.700352,906.164850
LargeRegFile, 9.912320, 319.227849, 9.889792,319.955010
LeGresley_87936, 0.773120, 491.122525, 0.742400,511.444834
Lin, 1.734656, 651.711933, 1.712128,660.287065
Linux_call_graph, 2.236416, 345.955799, 2.192384,352.904016
Long_Coup_dt0, 112.837631, 493.957151, 83.295235,669.149383
Long_Coup_dt6, 113.603584, 490.626728, 106.087425,525.387008
M6, 28.205055, 476.598183, 28.195841,476.753935
ML_Geer, 112.637955, 630.011280, 105.458687,672.900301
ML_Laplace, 30.195711, 586.890701, 29.945856,591.787459
Maragal_6, 0.250880, 1371.668351, 0.239616,1436.148465
Maragal_7, 0.800768, 959.508451, 0.779264,985.986400
Maragal_8, 0.860160, 973.523073, 0.836608,1000.929476
NACA0015, 8.287232, 481.097530, 8.218624,485.113686
NLR, 34.581505, 462.230009, 33.427456,478.188030
NotreDame_actors, 2.911232, 323.250968, 3.017728,311.843391
