Dataset,no_blocksplit_time,no_blockSplit_gflops,No_pipeline_time,No_pipeline_time,complete_time,complete_gflops
12month1, 480.578552, 120.519946, 111.412224, 519.864869, 110.925827, 522.144416
144, 9.832448, 559.463132, 9.830400, 559.579661, 9.815040, 560.455420
192bit, 0.671744, 588.044979, 0.671744, 588.044979, 0.662528, 596.224904
208bit, 1.221632, 628.155908, 1.216512, 630.799682, 1.209344, 634.538511
2D_27628_bjtcai, 1.554432, 729.410392, 1.560576, 726.538732, 1.558528, 727.493455
2D_54019_highK, 6.635520, 384.418983, 4.124672, 618.429751, 3.159040, 807.466781
2cubes_sphere, 5.865472, 718.952534, 5.881856, 716.949865, 5.809152, 725.922776
333SP, 142.741501, 398.455954, 142.772217, 398.370231, 142.709763, 398.544570
3D_28984_Tetra, 13.182976, 116.352728, 3.296256, 465.338605, 1.978368, 775.323482
3D_51448_3D, 19.391487, 139.490158, 4.369408, 619.059039, 3.363840, 804.117175
3Dspectralwave, 114.418686, 752.897196, 113.288193, 760.410293, 116.119553, 741.869099
3Dspectralwave2, 47.428608, 773.082454, 47.447041, 772.782121, 48.764927, 751.897459
3dtube, 19.258368, 427.183772, 10.246144, 802.922723, 9.392128, 875.931641
598a, 7.597056, 500.022920, 7.652352, 496.409751, 7.588864, 500.562687
ABACUS_shell_hd, 1.106944, 505.282162, 1.089536, 513.355286, 1.071104, 522.189268
ABACUS_shell_ld, 1.097728, 509.524247, 1.083392, 516.266529, 1.070080, 522.688975
ABACUS_shell_md, 1.084416, 515.779022, 1.077248, 519.211038, 1.068032, 523.691262
ABACUS_shell_ud, 1.082368, 516.754959, 1.086464, 514.806764, 1.073152, 521.192774
AS365, 164.300797, 354.256037, 164.356094, 354.136847, 164.356094, 354.136847
ASIC_100k, 519.183350, 4.704807, 5.397504, 452.553133, 4.211712, 579.967801
ASIC_100ks, 2.865152, 517.235547, 2.848768, 520.210281, 2.861056, 517.976004
ASIC_320k, 1056.913452, 6.383240, 13.362176, 504.897696, 13.788160, 489.298912
ASIC_320ks, 8.554496, 546.985588, 8.553472, 547.051087, 8.632320, 542.054245
ASIC_680k, 2339.922852, 4.235926, 24.217600, 409.278332, 25.703424, 385.619391
ASIC_680ks, 14.974976, 398.176980, 14.996480, 397.606009, 14.962688, 398.503957
Andrews, 3.511296, 554.209677, 3.520512, 552.758855, 3.488768, 557.788361
Baumann, 3.302400, 589.636414, 3.299328, 590.185428, 3.259392, 597.416741
BenElechi1, 36.395008, 924.996903, 36.373505, 925.543747, 38.378494, 877.191000
Bump_2911, 397.074432, 823.494324, 396.933105, 823.787527, 401.698822, 814.014191
CO, 27.751425, 707.174715, 27.800575, 705.924454, 28.216320, 695.523225
Chebyshev4, 276.854797, 49.726674, 20.360191, 676.175775, 16.397312, 839.592979
Chevron1, 1.472512, 574.813975, 1.513472, 559.257457, 1.466368, 577.222432
Chevron2, 3.319808, 619.349937, 3.313664, 620.498308, 3.270656, 628.657618
Chevron3, 13.208576, 661.507277, 13.207552, 661.558577, 13.191168, 662.380268
Chevron4, 24.304640, 671.625453, 24.347649, 670.439063, 24.280064, 672.305269
CoupCons3D, 60.090366, 950.987381, 60.163071, 949.838157, 71.768066, 796.248011
Cube_Coup_dt0, 332.293121, 980.001414, 332.683258, 978.852169, 398.076935, 818.052241
Cube_Coup_dt6, 332.293121, 980.001414, 332.669952, 978.891319, 398.087158, 818.031232
CurlCurl_0, 0.526336, 551.279168, 0.535552, 541.792518, 0.521216, 556.694525
CurlCurl_1, 8.567808, 738.637193, 8.569856, 738.460715, 8.546304, 740.495768
CurlCurl_2, 30.544895, 747.744581, 30.548992, 747.644299, 30.509056, 748.622959
CurlCurl_3, 46.178303, 750.876927, 46.163967, 751.110102, 46.128128, 751.693675
CurlCurl_4, 89.812988, 755.799588, 89.810944, 755.816795, 89.875458, 755.274256
D6-6, 1.252352, 300.245299, 1.240064, 303.220473, 1.228800, 305.999985
Delor295K, 9.078784, 677.115667, 9.070592, 677.727201, 9.041920, 679.876296
Delor338K, 14.478336, 744.677647, 14.480384, 744.572349, 14.454784, 745.890990
Delor64K, 2.827264, 590.492560, 2.775040, 601.605185, 2.721792, 613.374722
Dubcova1, 0.956416, 677.218943, 0.958464, 675.771883, 0.952320, 680.131735
Dubcova2, 4.003840, 658.711642, 4.024320, 655.359394, 3.987456, 661.418194
Dubcova3, 12.344320, 754.178538, 12.339200, 754.491493, 12.144640, 766.578628
EAT_RS, 3.786752, 220.113576, 2.511872, 331.830405, 1.739776, 479.093580
