Dataset,ASpT,Sputnik,RoDe
12month1,35.802113,0.419840,0.093184
144,0.091936,0.882368,0.061440
192bit,0.073888,0.379904,0.052224
208bit,0.074976,0.389696,0.053248
2D_27628_bjtcai,0.084992,0.404160,0.056320
2D_54019_highK,0.087904,0.908480,0.059392
2cubes_sphere,0.094656,0.919712,0.064512
333SP,0.320704,1.799616,0.218112
3D_28984_Tetra,0.150528,0.409824,0.056320
3D_51448_3D,0.174080,0.917664,0.057344
3Dspectralwave,0.342016,1.577152,0.124928
3Dspectralwave2,0.225280,1.380896,0.077824
3dtube,7.391232,1.109536,0.056320
598a,0.099328,0.867072,0.060416
ABACUS_shell_hd,0.074624,0.404000,0.059392
ABACUS_shell_ld,0.073376,0.404032,0.053248
ABACUS_shell_md,0.080832,0.402592,0.055296
ABACUS_shell_ud,0.072544,0.403488,0.054272
AS365,0.332512,2.756416,0.228352
ASIC_100k,6.112256,1.148928,0.075776
ASIC_100ks,0.092576,1.270816,0.063488
ASIC_320k,8.251392,1.593120,0.105472
ASIC_320ks,0.123520,1.349376,0.071680
ASIC_680k,10.830848,1.415712,0.128000
ASIC_680ks,0.132384,6.543264,0.099328
Andrews,0.086784,0.896192,0.058368
Baumann,0.085856,0.873696,0.061440
BenElechi1,11.169792,0.910208,0.076800
Bump_2911,38.205406,2.341600,0.203776
CO,0.137760,0.900224,0.072704
Chebyshev4,12.642304,0.680192,0.077824
Chevron1,0.073536,0.394976,0.054272
Chevron2,0.080928,0.880320,0.061440
Chevron3,0.106752,2.654784,0.130048
Chevron4,0.142752,1.370496,0.090112
CoupCons3D,13.394592,1.177152,0.080896
Cube_Coup_dt0,37.265663,2.424608,0.160768
Cube_Coup_dt6,37.214497,6.784928,0.162816
CurlCurl_0,0.072032,0.394240,0.052224
CurlCurl_1,0.095520,0.910368,0.066560
CurlCurl_2,0.154432,1.375264,0.107520
CurlCurl_3,0.189056,1.427104,0.123904
CurlCurl_4,0.288256,1.639072,0.156672
D6-6,0.071808,0.952096,0.060416
Delor295K,0.097536,1.526656,0.083968
Delor338K,0.121664,1.352256,0.078848
Delor64K,0.094624,0.886080,0.059392
Dubcova1,0.090976,0.380928,0.052224
Dubcova2,0.100448,1.546528,0.059392
Dubcova3,0.120672,0.891040,0.063488
EAT_RS,0.131072,0.464224,0.053248
EAT_SR,0.103424,0.461920,0.053248
ESOC,0.134112,1.359904,0.074752
Emilia_923,0.333728,1.955616,0.114688
EternityII_E,5.863424,0.420864,0.059392
EternityII_Etilde,5.357568,0.407552,0.054272
F1,16.417791,1.998848,0.077824
F2,8.970240,0.448064,0.063488
FEM_3D_thermal1,0.091712,0.391392,0.055296
FEM_3D_thermal2,0.099104,1.582592,0.073728
Fault_639,0.247776,1.446240,0.091136
Flan_1565,48.598015,2.294912,0.131072
Franz11,0.072512,0.437632,0.057344
Freescale1,0.360640,1.779744,0.218112
Freescale2,19.617792,2.211168,0.331776
FullChip,50.700287,1.838240,0.430080
G2_circuit,0.075840,0.884576,0.064512
G3_circuit,0.175680,1.868160,0.141312
GL7d14,0.087968,0.938656,0.061440
GL7d15,0.137472,1.422976,0.079872
GL7d16,0.197344,1.434272,0.102400
GL7d17,0.278752,1.430432,0.147456
